Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content,Morning,Afternoon,Night
Onion Sambar,Tamil Nadu,Veg,None,120,15,4.0,3,2,150,Vitamin C,No,Yes,Yes
Methi Rice,Tamil Nadu,Veg,None,220,30,8.0,7,3,200,Vitamin B,No,Yes,Yes
Chana Sundal,Tamil Nadu,Veg,None,180,20,5.0,7,2,150,"Vitamin B, Iron",No,Yes,Yes
Mango Rice,Tamil Nadu,Veg,None,220,30,7.0,6,2,250,Vitamin C,No,Yes,Yes
Vadai Curry,Tamil Nadu,Veg,None,250,30,10.0,7,2,300,Vitamin B,Yes,Yes,Yes
Kollu Sundal,Tamil Nadu,Veg,None,150,15,6.0,7,2,150,Vitamin B,No,Yes,Yes
Pesarattu,Tamil Nadu,Veg,None,180,25,7.0,8,1,200,Vitamin B,No,Yes,Yes
Thukpa,Sikkim,Non-Veg,None,250,30,8.0,15,4,500,"Vitamin B12, Vitamin C",No,Yes,Yes
Momos,Sikkim,Non-Veg,None,200,25,5.0,12,3,400,"Vitamin B12, Vitamin C",No,Yes,Yes
Phagshapa,Sikkim,Non-Veg,None,300,20,20.0,18,2,600,"Vitamin B6, Vitamin C",No,Yes,Yes
Kinema,Sikkim,Vegan,Soy,150,10,6.0,12,1,250,"Vitamin B1, Vitamin B2",No,Yes,Yes
Gundruk,Sikkim,Vegan,None,100,12,2.0,8,1,200,"Vitamin C, Vitamin K",No,Yes,Yes
Sel Roti,Sikkim,Vegan,Gluten,300,60,10.0,5,20,400,"Vitamin B1, Vitamin B2",No,Yes,Yes
Chhurpi,Sikkim,Non-Veg,Dairy,400,10,30.0,20,2,800,"Vitamin A, Vitamin D",No,Yes,Yes
Aloo Dum,Sikkim,Veg,None,250,35,10.0,5,6,300,"Vitamin C, Vitamin B6",No,Yes,Yes
Sichuan Noodles,Sikkim,Veg,Gluten,350,40,12.0,10,5,600,"Vitamin B2, Vitamin C",No,Yes,Yes
Yak Cheese Pizza,Sikkim,Non-Veg,Dairy,500,50,25.0,20,10,700,"Vitamin A, Vitamin C",No,Yes,Yes
Bamboo Shoot Curry,Sikkim,Veg,None,200,20,8.0,5,2,150,"Vitamin B6, Vitamin C",No,Yes,Yes
Tibetan Bread,Sikkim,Vegan,Gluten,350,70,10.0,7,15,500,"Vitamin B1, Vitamin B2",No,Yes,Yes
Pork with Bamboo Shoot,Sikkim,Non-Veg,None,400,15,30.0,25,5,800,"Vitamin B6, Vitamin C",No,Yes,Yes
Mutton Curry,Sikkim,Non-Veg,None,450,20,35.0,30,4,900,"Vitamin B12, Vitamin C",No,Yes,Yes
Dal Bhat,Sikkim,Veg,None,300,50,5.0,15,6,400,"Vitamin B1, Vitamin C",No,Yes,Yes
Bheda Ko Achar,Sikkim,Non-Veg,None,250,10,15.0,20,1,300,"Vitamin B6, Vitamin C",No,Yes,Yes
Momo Soup,Sikkim,Non-Veg,None,200,20,8.0,12,3,400,"Vitamin B12, Vitamin C",No,Yes,Yes
Tomato Chutney,Sikkim,Vegan,None,100,10,2.0,2,5,150,"Vitamin C, Vitamin A",No,Yes,Yes
Aloo Tama,Sikkim,Veg,None,250,30,8.0,10,7,300,"Vitamin B6, Vitamin C",No,Yes,Yes
Mutton Tsukpa,Sikkim,Non-Veg,None,350,40,20.0,25,6,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Chili Chicken,Sikkim,Non-Veg,None,400,20,25.0,30,5,800,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Fried Rice,Sikkim,Veg,None,350,55,10.0,8,6,500,"Vitamin B1, Vitamin C",No,Yes,Yes
Chicken Khaja,Sikkim,Non-Veg,None,300,25,15.0,20,4,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Egg Curry,Sikkim,Non-Veg,None,350,15,20.0,18,2,500,"Vitamin B12, Vitamin C",No,Yes,Yes
Pumpkin Soup,Sikkim,Veg,None,150,20,2.0,5,8,200,"Vitamin A, Vitamin C",No,Yes,Yes
Paneer Tikka,Sikkim,Veg,Dairy,250,12,15.0,20,4,350,"Vitamin A, Vitamin C",No,Yes,Yes
Samosa,Sikkim,Veg,Gluten,300,35,15.0,10,5,400,"Vitamin C, Vitamin B6",No,Yes,Yes
Beef Momos,Sikkim,Non-Veg,None,250,25,10.0,15,3,500,"Vitamin B12, Vitamin C",No,Yes,Yes
Kodo Ko Roti,Sikkim,Vegan,Gluten,250,50,5.0,7,10,300,"Vitamin B1, Vitamin C",No,Yes,Yes
Mixed Vegetable Curry,Sikkim,Veg,None,200,25,8.0,6,7,300,"Vitamin A, Vitamin C",No,Yes,Yes
Pork Dumplings,Sikkim,Non-Veg,None,300,20,15.0,18,4,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Kachila,Sikkim,Non-Veg,None,350,15,20.0,25,3,700,"Vitamin B12, Vitamin C",Yes,No,No
Pulao,Sikkim,Veg,None,300,45,10.0,7,5,500,"Vitamin B1, Vitamin C",No,Yes,Yes
Chicken Thukpa,Sikkim,Non-Veg,None,350,30,15.0,20,4,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Beef Thukpa,Sikkim,Non-Veg,None,400,25,20.0,25,5,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Momos,Sikkim,Veg,None,200,25,5.0,8,3,400,"Vitamin C, Vitamin A",No,Yes,Yes
Chana Masala,Sikkim,Vegan,None,250,35,8.0,10,6,300,"Vitamin B6, Vitamin C",No,Yes,Yes
Chicken Pulao,Sikkim,Non-Veg,None,350,40,15.0,20,5,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Potato Salad,Sikkim,Veg,None,150,20,5.0,4,2,200,"Vitamin C, Vitamin B6",No,Yes,Yes
Chili Paneer,Sikkim,Veg,Dairy,350,20,15.0,25,5,500,"Vitamin A, Vitamin C",No,Yes,Yes
Daal Soup,Sikkim,Vegan,None,200,25,2.0,8,3,250,"Vitamin B1, Vitamin C",No,Yes,Yes
Roti,Sikkim,Vegan,Gluten,250,50,5.0,7,10,300,"Vitamin B1, Vitamin C",No,Yes,Yes
Chicken Dumplings,Sikkim,Non-Veg,None,300,25,15.0,20,4,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Fish Curry,Sikkim,Non-Veg,None,350,10,25.0,20,2,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Stew,Sikkim,Veg,None,200,20,5.0,5,6,300,"Vitamin A, Vitamin C",No,Yes,Yes
Pork Ribs,Sikkim,Non-Veg,None,400,10,30.0,25,3,800,"Vitamin B12, Vitamin C",No,Yes,Yes
Spinach Curry,Sikkim,Veg,None,150,15,5.0,8,4,250,"Vitamin A, Vitamin C",No,Yes,Yes
Yak Meat Stew,Sikkim,Non-Veg,None,350,15,20.0,25,3,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Pakora,Sikkim,Veg,Gluten,300,25,15.0,10,5,400,"Vitamin C, Vitamin B6",No,Yes,Yes
Beef Curry,Sikkim,Non-Veg,None,400,20,25.0,30,4,800,"Vitamin B12, Vitamin C",No,Yes,Yes
Fried Fish,Sikkim,Non-Veg,None,350,15,20.0,25,3,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Tomato Soup,Sikkim,Vegan,None,100,12,2.0,3,8,150,"Vitamin C, Vitamin A",No,Yes,Yes
Chicken Skewers,Sikkim,Non-Veg,None,250,10,20.0,25,2,500,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Steamed Momos,Sikkim,Veg,None,200,25,5.0,8,3,400,"Vitamin C, Vitamin A",No,Yes,Yes
Beef Stew,Sikkim,Non-Veg,None,350,20,30.0,25,5,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Ginger Tea,Sikkim,Vegan,None,50,10,0.0,0,2,20,Vitamin C,No,Yes,Yes
Yak Meat Momos,Sikkim,Non-Veg,None,250,25,10.0,15,3,500,"Vitamin B12, Vitamin C",No,Yes,Yes
Pumpkin Pie,Sikkim,Veg,Gluten,300,40,15.0,10,12,400,"Vitamin A, Vitamin C",No,Yes,Yes
Chana Salad,Sikkim,Vegan,None,200,30,5.0,10,3,250,"Vitamin B6, Vitamin C",No,Yes,Yes
Chana Dal,Sikkim,Vegan,None,250,40,5.0,15,6,300,"Vitamin B1, Vitamin C",No,Yes,Yes
Vegetable Pulao,Sikkim,Veg,None,300,45,10.0,8,5,500,"Vitamin B1, Vitamin C",No,Yes,Yes
Mutton Momos,Sikkim,Non-Veg,None,250,25,10.0,18,4,500,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Soup,Sikkim,Veg,None,150,20,2.0,6,4,200,"Vitamin A, Vitamin C",No,Yes,Yes
Tibetan Dumplings,Sikkim,Non-Veg,None,200,25,10.0,12,3,400,"Vitamin B12, Vitamin C",No,Yes,Yes
Egg Momos,Sikkim,Non-Veg,None,250,20,10.0,15,3,500,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Sandwich,Sikkim,Veg,Gluten,250,30,5.0,7,4,300,"Vitamin C, Vitamin A",Yes,No,No
Vegetable Samosa,Sikkim,Veg,Gluten,300,35,15.0,10,5,400,"Vitamin C, Vitamin B6",No,Yes,Yes
Yak Meat Burger,Sikkim,Non-Veg,None,400,30,20.0,25,6,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Steamed Buns,Sikkim,Veg,Gluten,200,30,5.0,7,5,400,"Vitamin C, Vitamin A",No,Yes,Yes
Pork Sausages,Sikkim,Non-Veg,None,350,15,25.0,20,4,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Beef Kebabs,Sikkim,Non-Veg,None,300,20,25.0,30,5,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Pakoras,Sikkim,Veg,Gluten,300,25,15.0,10,5,400,"Vitamin C, Vitamin B6",No,Yes,Yes
Chicken Soup,Sikkim,Non-Veg,None,200,15,10.0,20,3,400,"Vitamin B12, Vitamin C",No,Yes,Yes
Beef Stir Fry,Sikkim,Non-Veg,None,350,20,25.0,30,5,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Pumpkin Curry,Sikkim,Veg,None,200,25,5.0,8,6,300,"Vitamin A, Vitamin C",No,Yes,Yes
Vegetable Korma,Sikkim,Veg,None,250,30,10.0,7,8,400,"Vitamin C, Vitamin B6",No,Yes,Yes
Chicken Salad,Sikkim,Non-Veg,None,250,20,15.0,25,2,500,"Vitamin B12, Vitamin C",No,Yes,Yes
Pork Ramen,Sikkim,Non-Veg,None,400,30,20.0,25,6,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Chili Beef,Sikkim,Non-Veg,None,350,20,25.0,30,5,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Pork Skewers,Sikkim,Non-Veg,None,300,20,25.0,30,4,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Salad,Sikkim,Veg,None,150,15,2.0,4,3,200,"Vitamin C, Vitamin A",No,Yes,Yes
Chicken Burger,Sikkim,Non-Veg,None,400,30,25.0,20,6,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Mutton Stew,Sikkim,Non-Veg,None,350,15,25.0,30,5,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Curry,Sikkim,Veg,None,200,25,8.0,6,7,300,"Vitamin C, Vitamin A",No,Yes,Yes
Pork Chops,Sikkim,Non-Veg,None,400,15,25.0,30,6,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Egg Salad,Sikkim,Non-Veg,None,200,5,10.0,15,2,300,"Vitamin B12, Vitamin C",No,Yes,Yes
Mutton Ribs,Sikkim,Non-Veg,None,400,20,30.0,25,4,800,"Vitamin B12, Vitamin C",No,Yes,Yes
Spinach Soup,Sikkim,Veg,None,150,15,5.0,5,3,200,"Vitamin A, Vitamin C",No,Yes,Yes
Beef Stir Fry,Sikkim,Non-Veg,None,300,15,20.0,25,4,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Tempura,Sikkim,Veg,Gluten,300,30,15.0,10,5,400,"Vitamin C, Vitamin B6",No,Yes,Yes
Chicken Kababs,Sikkim,Non-Veg,None,300,20,20.0,25,4,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Biryani,Sikkim,Veg,None,350,60,10.0,8,10,500,"Vitamin B1, Vitamin C",No,Yes,Yes
Chicken Fried Rice,Sikkim,Non-Veg,None,350,50,15.0,20,5,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Pork Belly,Sikkim,Non-Veg,None,400,15,30.0,25,4,800,"Vitamin B12, Vitamin C",No,Yes,Yes
Beef Chili,Sikkim,Non-Veg,None,350,20,25.0,30,6,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Wrap,Sikkim,Veg,Gluten,250,30,10.0,8,5,350,"Vitamin C, Vitamin A",No,Yes,Yes
Chicken Curry,Sikkim,Non-Veg,None,350,20,20.0,25,4,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Tofu Stir Fry,Sikkim,Vegan,Soy,250,30,10.0,15,4,350,"Vitamin C, Vitamin B6",No,Yes,Yes
Pork Ribs,Sikkim,Non-Veg,None,400,15,30.0,25,6,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Mutton Kebabs,Sikkim,Non-Veg,None,350,20,25.0,30,5,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Udon,Sikkim,Veg,Gluten,300,60,8.0,10,5,500,"Vitamin C, Vitamin B6",No,Yes,Yes
Chicken Satay,Sikkim,Non-Veg,None,250,10,20.0,25,2,500,"Vitamin B12, Vitamin C",No,Yes,Yes
Yak Meat Stew,Sikkim,Non-Veg,None,350,20,20.0,25,4,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Pork Adobo,Sikkim,Non-Veg,None,350,15,25.0,20,5,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Chicken Teriyaki,Sikkim,Non-Veg,None,300,20,15.0,25,4,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Beef Soup,Sikkim,Non-Veg,None,300,10,20.0,25,4,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Chicken Ramen,Sikkim,Non-Veg,None,350,40,15.0,20,5,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Stir Fry,Sikkim,Veg,None,250,30,8.0,7,4,300,"Vitamin A, Vitamin C",No,Yes,Yes
Pork Dumplings,Sikkim,Non-Veg,None,250,25,15.0,20,4,500,"Vitamin B12, Vitamin C",No,Yes,Yes
Chicken Tikka,Sikkim,Non-Veg,None,250,10,20.0,25,2,500,"Vitamin B12, Vitamin C",No,Yes,Yes
Beef Korma,Sikkim,Non-Veg,None,400,20,25.0,30,5,800,"Vitamin B12, Vitamin C",No,Yes,Yes
Pork Stir Fry,Sikkim,Non-Veg,None,350,15,20.0,25,4,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Chicken Samosa,Sikkim,Non-Veg,None,300,35,15.0,20,5,500,"Vitamin B12, Vitamin C",No,Yes,Yes
Pork Stew,Sikkim,Non-Veg,None,350,20,25.0,30,6,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Chicken Pot Pie,Sikkim,Non-Veg,None,400,30,20.0,25,10,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Beef Curry,Sikkim,Non-Veg,None,400,20,25.0,30,6,800,"Vitamin B12, Vitamin C",No,Yes,Yes
Aloo Tama,Sikkim,Veg,None,250,25,5.0,8,6,350,"Vitamin C, Vitamin A",No,Yes,Yes
Chicken Kebabs,Sikkim,Non-Veg,None,300,20,20.0,25,5,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Beef Chops,Sikkim,Non-Veg,None,400,30,25.0,30,6,800,"Vitamin B12, Vitamin C",No,Yes,Yes
Vegetable Skewers,Sikkim,Veg,None,250,30,5.0,8,4,350,"Vitamin C, Vitamin A",No,Yes,Yes
Vegetable Burger,Sikkim,Veg,Gluten,300,35,15.0,10,5,400,"Vitamin C, Vitamin B6",No,Yes,Yes
Chicken Wrap,Sikkim,Non-Veg,None,300,20,20.0,25,4,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Beef Samosa,Sikkim,Non-Veg,None,300,30,20.0,25,5,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Pork Stir Fry,Sikkim,Non-Veg,None,350,20,25.0,30,5,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Beef Ribs,Sikkim,Non-Veg,None,400,25,30.0,25,5,800,"Vitamin B12, Vitamin C",No,Yes,Yes
Chicken Korma,Sikkim,Non-Veg,None,300,25,20.0,25,5,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Yak Meat Ribs,Sikkim,Non-Veg,None,400,25,30.0,25,5,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Beef Pot Roast,Sikkim,Non-Veg,None,400,20,25.0,30,6,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Pork Tacos,Sikkim,Non-Veg,None,300,20,20.0,25,4,600,"Vitamin B12, Vitamin C",No,Yes,Yes
Chicken Noodles,Sikkim,Non-Veg,None,350,40,15.0,20,5,700,"Vitamin B12, Vitamin C",No,Yes,Yes
Dal Baati Churma,Rajasthan,Veg,None,700,90,25.0,15,20,800,"Vitamin A, B, C",No,Yes,Yes
Gatte ki Sabzi,Rajasthan,Veg,None,400,50,18.0,12,8,700,"Vitamin B, C",No,Yes,Yes
Ker Sangri,Rajasthan,Veg,None,300,35,10.0,8,7,600,"Vitamin A, C",No,Yes,Yes
Laal Maas,Rajasthan,Non-Veg,None,600,45,35.0,30,5,900,"Vitamin A, B",No,Yes,Yes
Methi Thepla,Rajasthan,Veg,None,350,55,10.0,12,6,500,"Vitamin A, C",No,Yes,Yes
Bajra Roti,Rajasthan,Veg,None,250,45,5.0,7,2,200,"Vitamin B, C",No,Yes,Yes
Rajasthani Kachori,Rajasthan,Veg,None,500,60,25.0,10,15,800,"Vitamin A, B",Yes,No,No
Churma Laddu,Rajasthan,Veg,None,450,65,20.0,25,35,600,"Vitamin A, C",No,Yes,Yes
Roti with Pulao,Rajasthan,Veg,None,600,80,15.0,20,10,700,"Vitamin B, C",No,Yes,Yes
Murg Keema,Rajasthan,Non-Veg,None,550,30,40.0,35,5,800,"Vitamin B, C",No,Yes,Yes
Papad Ki Sabzi,Rajasthan,Veg,None,300,40,12.0,8,7,600,Vitamin B,No,Yes,Yes
Methi Malai Chicken,Rajasthan,Non-Veg,None,650,25,45.0,30,5,850,"Vitamin A, B",No,Yes,Yes
Panchmel Dal,Rajasthan,Veg,None,350,50,10.0,15,6,500,"Vitamin B, C",No,Yes,Yes
Dahi Ke Kebab,Rajasthan,Veg,None,400,30,20.0,15,10,600,"Vitamin B, C",No,Yes,Yes
Jungli Maas,Rajasthan,Non-Veg,None,700,40,50.0,40,8,1000,"Vitamin A, B",No,Yes,Yes
Sev Tameta,Rajasthan,Veg,None,300,35,15.0,10,8,550,Vitamin C,No,Yes,Yes
Ghevar,Rajasthan,Veg,None,500,60,25.0,30,40,700,Vitamin A,No,Yes,Yes
Kadhi Pakora,Rajasthan,Veg,None,400,50,20.0,15,10,600,"Vitamin B, C",No,Yes,Yes
Rajasthani Biryani,Rajasthan,Veg,None,600,75,15.0,20,10,750,"Vitamin B, C",No,Yes,Yes
Sangri Kachori,Rajasthan,Veg,None,500,55,25.0,20,15,800,"Vitamin A, B",Yes,No,No
Pyaaz Kachori,Rajasthan,Veg,None,450,50,20.0,18,12,700,Vitamin A,Yes,No,No
Daal Kachori,Rajasthan,Veg,None,550,60,25.0,22,18,750,"Vitamin B, C",Yes,No,No
Litti Chokha,Rajasthan,Veg,None,650,70,20.0,15,10,800,Vitamin B,No,Yes,Yes
Chane Ke Kebab,Rajasthan,Veg,None,350,40,12.0,15,8,500,Vitamin C,No,Yes,Yes
Bajra Khichdi,Rajasthan,Veg,None,400,60,12.0,15,8,550,"Vitamin B, C",No,Yes,Yes
Rajasthani Khadi,Rajasthan,Veg,None,350,45,15.0,12,6,600,"Vitamin B, C",No,Yes,Yes
Aloo Pyaz ki Sabzi,Rajasthan,Veg,None,300,40,10.0,7,5,450,Vitamin C,No,Yes,Yes
Gond Pak,Rajasthan,Veg,None,550,65,20.0,30,25,700,"Vitamin A, B",No,Yes,Yes
Besan Chilla,Rajasthan,Veg,None,400,45,15.0,12,5,500,"Vitamin B, C",No,Yes,Yes
Rajasthani Pulao,Rajasthan,Veg,None,600,70,15.0,20,10,750,Vitamin C,No,Yes,Yes
Jodhpuri Mirchi Vada,Rajasthan,Veg,None,500,55,25.0,20,15,800,Vitamin A,Yes,No,No
Rajma Chawal,Rajasthan,Veg,None,700,80,20.0,20,12,850,"Vitamin B, C",No,Yes,Yes
Lassi,Rajasthan,Veg,Dairy,150,15,3.0,6,12,80,"Vitamin B, C",No,Yes,Yes
Chaas,Rajasthan,Veg,Dairy,120,10,2.0,4,8,60,"Vitamin B, C",No,Yes,Yes
Samosa,Rajasthan,Veg,None,400,50,20.0,12,10,700,Vitamin A,No,Yes,Yes
Dal Dhokli,Rajasthan,Veg,None,500,60,15.0,18,12,650,"Vitamin B, C",No,Yes,Yes
Methi Thepla with Curd,Rajasthan,Veg,None,400,55,10.0,12,6,500,"Vitamin A, C",No,Yes,Yes
Rajasthani Baingan Bharta,Rajasthan,Veg,None,350,45,12.0,10,5,600,"Vitamin A, C",No,Yes,Yes
Pyaz ke Pakode,Rajasthan,Veg,None,350,40,15.0,10,10,550,Vitamin C,No,Yes,Yes
Pulao with Raita,Rajasthan,Veg,None,600,70,15.0,20,12,750,"Vitamin B, C",No,Yes,Yes
Khasta Kachori,Rajasthan,Veg,None,500,55,25.0,20,15,750,Vitamin A,Yes,No,No
Palak Puri,Rajasthan,Veg,None,400,50,15.0,10,8,600,"Vitamin A, C",Yes,No,No
Vegetable Pulao,Rajasthan,Veg,None,550,65,15.0,15,10,700,"Vitamin B, C",No,Yes,Yes
Murg Malai Tikka,Rajasthan,Non-Veg,None,600,25,45.0,30,8,850,"Vitamin A, B",No,Yes,Yes
Aloo Gobhi,Rajasthan,Veg,None,350,40,10.0,8,5,500,Vitamin C,No,Yes,Yes
Bhutte ka Kees,Rajasthan,Veg,None,300,40,10.0,8,6,550,"Vitamin A, C",No,Yes,Yes
Tandoori Chicken,Rajasthan,Non-Veg,None,650,20,50.0,35,10,900,"Vitamin B, C",No,Yes,Yes
Methi Paratha,Rajasthan,Veg,None,400,55,15.0,12,8,600,"Vitamin A, C",Yes,No,No
Aloo Tamatar Ki Sabzi,Rajasthan,Veg,None,350,45,10.0,8,6,500,Vitamin C,No,Yes,Yes
Chana Masala,Rajasthan,Veg,None,400,50,15.0,15,8,600,"Vitamin B, C",No,Yes,Yes
Rajasthani Rajma,Rajasthan,Veg,None,550,65,20.0,15,10,700,"Vitamin B, C",No,Yes,Yes
Jaisalmeri Kachori,Rajasthan,Veg,None,500,55,25.0,20,15,750,Vitamin A,Yes,No,No
Khaman Dhokla,Rajasthan,Veg,None,300,40,8.0,12,5,500,"Vitamin B, C",No,Yes,Yes
Gond Ki Laddu,Rajasthan,Veg,None,550,65,25.0,30,20,700,"Vitamin A, B",No,Yes,Yes
Daal Tadka,Rajasthan,Veg,None,400,50,12.0,15,10,600,"Vitamin B, C",No,Yes,Yes
Methi Pulao,Rajasthan,Veg,None,600,70,15.0,18,12,750,"Vitamin A, C",No,Yes,Yes
Kachori with Aloo Curry,Rajasthan,Veg,None,600,65,25.0,20,15,800,"Vitamin A, B",Yes,Yes,Yes
Samosa Chaat,Rajasthan,Veg,None,450,55,20.0,15,12,650,Vitamin C,No,Yes,Yes
Dal Pakwan,Rajasthan,Veg,None,600,75,20.0,18,15,750,"Vitamin A, C",No,Yes,Yes
Chole Bhature,Rajasthan,Veg,None,700,85,25.0,20,20,900,"Vitamin B, C",No,Yes,Yes
Rajasthani Ghee Ke Ladoo,Rajasthan,Veg,Dairy,550,60,30.0,25,20,800,Vitamin A,No,Yes,Yes
Baida Roti,Rajasthan,Non-Veg,None,600,50,25.0,30,10,850,"Vitamin B, C",No,Yes,Yes
Dahi Bhalla,Rajasthan,Veg,Dairy,350,40,10.0,12,15,600,"Vitamin B, C",No,Yes,Yes
Vegetable Pakora,Rajasthan,Veg,None,350,45,15.0,10,8,550,Vitamin C,No,Yes,Yes
Bhindi Masala,Rajasthan,Veg,None,300,35,10.0,8,7,500,Vitamin C,No,Yes,Yes
Lauki Kofta,Rajasthan,Veg,None,400,50,15.0,12,10,600,"Vitamin A, C",No,Yes,Yes
Rajasthani Pithi,Rajasthan,Veg,None,450,55,20.0,18,12,650,Vitamin A,No,Yes,Yes
Chana Chaat,Rajasthan,Veg,None,350,45,8.0,15,10,500,Vitamin C,No,Yes,Yes
Murg Curry,Rajasthan,Non-Veg,None,650,30,40.0,35,10,900,"Vitamin B, C",No,Yes,Yes
Rajasthani Halwa,Rajasthan,Veg,None,500,60,25.0,30,35,700,Vitamin A,No,Yes,Yes
Papad Ki Sabzi,Rajasthan,Veg,None,300,35,15.0,10,7,600,Vitamin C,No,Yes,Yes
Bhutte Ka Kees,Rajasthan,Veg,None,300,40,10.0,8,6,550,"Vitamin A, C",No,Yes,Yes
Gatte Ki Khichdi,Rajasthan,Veg,None,500,65,12.0,15,10,600,"Vitamin B, C",No,Yes,Yes
Methi Malai Kofta,Rajasthan,Veg,None,600,45,30.0,20,15,700,"Vitamin A, C",No,Yes,Yes
Sangri Ki Sabzi,Rajasthan,Veg,None,350,45,12.0,10,7,600,"Vitamin B, C",No,Yes,Yes
Rajasthani Kachori,Rajasthan,Veg,None,500,60,25.0,20,15,800,Vitamin A,Yes,No,No
Vegetable Biryani,Rajasthan,Veg,None,650,75,15.0,20,10,750,Vitamin C,No,Yes,Yes
Chole Chaat,Rajasthan,Veg,None,400,50,15.0,15,8,600,Vitamin C,No,Yes,Yes
Methi Ki Chutney,Rajasthan,Veg,None,200,30,5.0,8,4,400,"Vitamin A, C",No,Yes,Yes
Rajasthani Kadi,Rajasthan,Veg,None,350,45,15.0,12,6,600,"Vitamin B, C",No,Yes,Yes
Rajasthani Kadhi Pakora,Rajasthan,Veg,None,400,50,20.0,15,10,600,"Vitamin B, C",No,Yes,Yes
Aloo Paratha,Punjab,Veg,Gluten,250,40,10.0,5,2,300,Vitamin C,Yes,No,No
Chole Bhature,Punjab,Veg,Gluten,600,70,20.0,8,5,600,"Vitamin B, Vitamin C",No,Yes,Yes
Butter Chicken,Punjab,Non-Veg,Dairy,500,12,30.0,8,4,800,"Vitamin A, Vitamin B",No,Yes,Yes
Dal Makhani,Punjab,Veg,Dairy,350,45,12.0,6,3,400,"Vitamin B, Vitamin C",No,Yes,Yes
Palak Paneer,Punjab,Veg,Dairy,400,15,25.0,6,3,500,"Vitamin A, Vitamin C",No,Yes,Yes
Rajma,Punjab,Veg,None,350,60,8.0,5,2,300,"Vitamin B, Vitamin C",No,Yes,Yes
Amritsari Macchi,Punjab,Non-Veg,Fish,450,15,25.0,5,3,700,"Vitamin A, Vitamin D",No,Yes,Yes
Tandoori Chicken,Punjab,Non-Veg,None,400,10,30.0,2,2,500,"Vitamin B, Vitamin C",No,Yes,Yes
Kadi Pakora,Punjab,Veg,Gluten,400,30,20.0,8,4,500,Vitamin B,No,Yes,Yes
Methi Thepla,Punjab,Veg,Gluten,300,35,10.0,4,2,350,Vitamin C,No,Yes,Yes
Pindi Chole,Punjab,Veg,None,350,65,8.0,5,3,300,Vitamin B,No,Yes,Yes
Sarson Da Saag,Punjab,Veg,None,200,15,5.0,3,1,150,"Vitamin A, Vitamin C",No,Yes,Yes
Makki Di Roti,Punjab,Veg,Gluten,250,50,5.0,1,0,200,Vitamin A,No,Yes,Yes
